Emotion,Other,Adjective,Adverb,Noun,Verb,Total Words
PRIDE,0.328402366863905,s,0.032544378698225,0.337278106508876,0.183431952662722,338
PEACEFULNESS,0.382352941176471,0.117647058823529,0.037433155080214,0.304812834224599,0.157754010695187,374
DESPERATION,0.315315315315315,0.114114114114114,0.027027027027027,0.318318318318318,0.225225225225225,333
DETERMINATION,0.320634920634921,0.111111111111111,0.028571428571429,0.317460317460317,0.222222222222222,315
PARANOIA,0.319095477386935,0.105527638190955,0.050251256281407,0.329145728643216,0.195979899497487,398
HAPPINESS,0.356608478802992,0.102244389027431,0.034912718204489,0.319201995012469,0.187032418952619,401
SCORN,0.363363363363363,0.102102102102102,0.03003003003003,0.309309309309309,0.195195195195195,333
SOMBERNESS,0.332247557003257,0.100977198697068,0.06514657980456,0.364820846905538,0.136807817589577,307
LOVE,0.354297693920335,0.09853249475891,0.039832285115304,0.333333333333333,0.174004192872117,477
DENIAL,0.338129496402878,0.097122302158273,0.050359712230216,0.248201438848921,0.266187050359712,278
INDIFFERENCE,0.349206349206349,0.092063492063492,0.066666666666667,0.276190476190476,0.215873015873016,315
WORRY,0.336206896551724,0.091954022988506,0.048850574712644,0.344827586206897,0.17816091954023,348
NOSTALGIA,0.412429378531073,0.090395480225989,0.03954802259887,0.274011299435028,0.18361581920904,354
NERVOUSNESS,0.334437086092715,0.089403973509934,0.029801324503311,0.374172185430464,0.172185430463576,302
CONFIDENCE,0.358823529411765,0.088235294117647,0.047058823529412,0.294117647058824,0.211764705882353,340
DISBELIEF,0.346938775510204,0.087463556851312,0.067055393586006,0.274052478134111,0.224489795918367,343
ANGER,0.313253012048193,0.087349397590362,0.02710843373494,0.36144578313253,0.210843373493976,332
DEPRESSION,0.328402366863905,0.085798816568047,0.026627218934911,0.408284023668639,0.150887573964497,338
GRATITUDE,0.363013698630137,0.085616438356164,0.027397260273973,0.325342465753425,0.198630136986301,292
FRUSTRATION,0.374418604651163,0.083720930232558,0.03953488372093,0.276744186046512,0.225581395348837,430
ANXIETY,0.311258278145695,0.082781456953642,0.036423841059603,0.341059602649007,0.228476821192053,302
REGRET,0.375706214689265,0.081920903954802,0.033898305084746,0.313559322033898,0.194915254237288,354
CONTEMPT,0.315384615384615,0.080769230769231,0.073076923076923,0.284615384615385,0.246153846153846,260
RESIGNATION,0.38,0.08,0.043333333333333,0.306666666666667,0.19,300
CONFUSION,0.323076923076923,0.08,0.036923076923077,0.313846153846154,0.246153846153846,325
SATISFACTION,0.385665529010239,0.078498293515358,0.051194539249147,0.324232081911263,0.160409556313993,293
EAGERNESS,0.334375,0.078125,0.053125,0.3,0.234375,320
SYMPATHY,0.417699115044248,0.07787610619469,0.049557522123894,0.254867256637168,0.2,565
SHAME,0.372340425531915,0.077127659574468,0.029255319148936,0.316489361702128,0.204787234042553,376
UNEASE,0.375291375291375,0.076923076923077,0.076923076923077,0.261072261072261,0.20979020979021,429
LONELINESS,0.387464387464387,0.076923076923077,0.037037037037037,0.319088319088319,0.179487179487179,351
DISGUST,0.341736694677871,0.07563025210084,0.072829131652661,0.271708683473389,0.238095238095238,357
WARINESS,0.368580060422961,0.075528700906344,0.042296072507553,0.299093655589124,0.214501510574018,331
CONFLICTED,0.373390557939914,0.075107296137339,0.032188841201717,0.302575107296137,0.216738197424893,466
SKEPTICISM,0.380145278450363,0.075060532687651,0.033898305084746,0.322033898305085,0.188861985472155,413
SMUGNESS,0.42152466367713,0.073991031390135,0.035874439461884,0.29372197309417,0.174887892376682,446
FEAR,0.364556962025316,0.073417721518987,0.037974683544304,0.339240506329114,0.184810126582279,395
OVERWHELMED,0.345454545454545,0.072727272727273,0.057575757575758,0.345454545454545,0.178787878787879,330
JEALOUSY,0.386473429951691,0.072463768115942,0.038647342995169,0.304347826086957,0.198067632850242,414
SADNESS,0.347457627118644,0.070621468926554,0.031073446327684,0.350282485875706,0.200564971751412,354
RELIEF,0.361963190184049,0.070552147239264,0.05521472392638,0.294478527607362,0.217791411042945,326
DREAD,0.373417721518987,0.069620253164557,0.041139240506329,0.294303797468354,0.221518987341772,316
RESENTMENT,0.36518771331058,0.068259385665529,0.037542662116041,0.348122866894198,0.180887372013652,293
DOUBT,0.367952522255193,0.068249258160237,0.047477744807122,0.281899109792285,0.234421364985163,337
ANGUISH,0.331360946745562,0.068047337278107,0.032544378698225,0.35207100591716,0.215976331360947,338
INSECURITY,0.349246231155779,0.0678391959799,0.050251256281407,0.321608040201005,0.21105527638191,398
DESIRE,0.361305361305361,0.067599067599068,0.034965034965035,0.291375291375291,0.244755244755245,429
HATRED,0.387012987012987,0.067532467532468,0.023376623376623,0.316883116883117,0.205194805194805,385
DEFEAT,0.328358208955224,0.067164179104478,0.037313432835821,0.358208955223881,0.208955223880597,268
ELATION,0.38006230529595,0.065420560747664,0.046728971962617,0.274143302180685,0.233644859813084,321
DEFENSIVENESS,0.338461538461538,0.064615384615385,0.049230769230769,0.338461538461538,0.209230769230769,325
RELUCTANCE,0.360335195530726,0.064245810055866,0.072625698324022,0.276536312849162,0.226256983240223,358
HOPEFULNESS,0.370253164556962,0.063291139240506,0.05379746835443,0.306962025316456,0.205696202531646,316
SURPRISE/SHOCK,0.401869158878505,0.063084112149533,0.035046728971963,0.299065420560748,0.200934579439252,428
RAGE,0.335135135135135,0.062162162162162,0.045945945945946,0.332432432432432,0.224324324324324,370
ADORATION,0.342182890855457,0.061946902654867,0.026548672566372,0.371681415929204,0.1976401179941,339
AMUSEMENT,0.363372093023256,0.061046511627907,0.040697674418605,0.302325581395349,0.232558139534884,344
REMORSE,0.366666666666667,0.060606060606061,0.063636363636364,0.315151515151515,0.193939393939394,330
UNCERTAINTY,0.386574074074074,0.060185185185185,0.030092592592593,0.303240740740741,0.219907407407407,432
GUILT,0.351063829787234,0.058510638297872,0.053191489361702,0.295212765957447,0.242021276595745,376
AMAZEMENT,0.323651452282158,0.058091286307054,0.053941908713693,0.298755186721992,0.265560165975104,241
EXCITEMENT,0.369491525423729,0.057627118644068,0.03728813559322,0.31864406779661,0.216949152542373,295
CURIOSITY,0.413793103448276,0.057471264367816,0.031609195402299,0.244252873563218,0.252873563218391,348
SUSPICION,0.379901960784314,0.056372549019608,0.053921568627451,0.291666666666667,0.218137254901961,408
DISAPPOINTMENT,0.349693251533742,0.05521472392638,0.04601226993865,0.319018404907975,0.230061349693252,326
IRRITATION,0.365994236311239,0.054755043227666,0.051873198847262,0.288184438040346,0.239193083573487,347
ANTICIPATION,0.38328530259366,0.054755043227666,0.046109510086455,0.293948126801153,0.221902017291066,347
IMPATIENCE,0.388753056234719,0.051344743276284,0.053789731051345,0.26161369193154,0.244498777506112,409
ANNOYANCE,0.368421052631579,0.05,0.065789473684211,0.289473684210526,0.226315789473684,380
TERROR,0.384433962264151,0.049528301886793,0.05188679245283,0.332547169811321,0.181603773584906,424
AGITATION,0.376470588235294,0.047058823529412,0.044117647058824,0.294117647058824,0.238235294117647,340
EMBARRASSMENT,0.38728323699422,0.046242774566474,0.043352601156069,0.294797687861272,0.228323699421965,346
HURT,0.364516129032258,0.045161290322581,0.058064516129032,0.290322580645161,0.241935483870968,310
HUMILIATION,0.342372881355932,0.04406779661017,0.033898305084746,0.386440677966102,0.193220338983051,295
ENVY,0.386885245901639,0.042622950819672,0.042622950819672,0.288524590163934,0.239344262295082,305
